epoch,accuracy,loss,val_accuracy,val_loss
0,0.21461187,9.716289329927987,0.22839505970478058,1.9204105447839808
1,0.2800609,1.8513163302768492,0.4197530746459961,1.8105784581031328
2,0.42313546,1.662705842944222,0.43518519401550293,1.5134260889924602
3,0.55403346,1.2454213308598534,0.6018518805503845,1.2700443694620958
4,0.71841705,0.8481998552470447,0.6790123581886292,0.850734813713733
5,0.8173516,0.6223943780546319,0.8086419701576233,0.6117588929188105
6,0.82952815,0.4969233982094891,0.8209876418113708,0.5307724593598165
7,0.8995434,0.3479872845351424,0.8641975522041321,0.47705948021676803
8,0.90563166,0.29580543536120174,0.8858024477958679,0.37527868648370105
9,0.94824964,0.24097626105155032,0.9320987462997437,0.26214336659069415
10,0.96042615,0.17686540391891514,0.9351851940155029,0.22574202918712002
11,0.94824964,0.15923756007190165,0.9722222089767456,0.1633335648127544
12,0.96651447,0.1303180147251582,0.9907407164573669,0.11375103026260565
13,0.97564685,0.09537948162225465,0.9783950448036194,0.11023319843742582
14,0.9847793,0.07674319556201248,0.9876543283462524,0.1007332700178211
15,0.98630136,0.05495861684690872,0.9845678806304932,0.0937295467880221
16,0.99391174,0.057380676558709036,0.9907407164573669,0.056320634544079685
17,0.9923897,0.04455433571016589,1.0,0.04833036143746641
18,0.99086756,0.04185698101512487,0.9938271641731262,0.05462522481648642
19,0.99847794,0.028989723702124354,0.9907407164573669,0.056611490352539186
